,AAPL,ABBV,ADBE,AEP,AMT,AMZN,APD,AXP,BA,BAC,C,CAT,CL,CMCSA,COP,COST,CRM,CVX,DIS,DUK,ECL,EOG,EQIX,FCX,GE,GOOGL,GS,HON,JNJ,JPM,KO,LIN,LLY,LMT,META,MRK,MS,MSFT,NEE,NVDA,PEP,PFE,PG,PLD,SLB,SO,SPG,T,UNH,UPS,VZ,WFC,WMT,XOM
PFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLD,0.004119850473107041,0.0,0.02535037471953848,0.0016557181323411632,0.18701612010131932,0.0,0.020350940179704496,0.0,0.037351941068345565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016064199861187744,0.0262699316767304,0.0,0.16389342753414915,0.016779083662169247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010756388316669125,0.003223335110381255,0.06386605001790771,0.03511273267913811,0.0,0.0,0.0,1.0,0.0,0.02690295235385078,0.12079214067997295,0.0,0.0,0.0013013111426256458,0.0,0.0,0.0,0.0
SLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022628117105338675,0.009088280658419979,0.0,0.05214249027216555,0.0785483162811383,0.0,0.0,0.16747978417950501,0.0,0.0,0.13600346661018198,0.0,0.0,0.0,0.24105126443582522,0.0,0.04635821381760573,0.050217921340727514,0.0,0.0024313904829008064,0.0,0.0,0.01670678245702558,0.0,0.0,0.0,0.0,0.0,0.0,0.004209734023128849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07087348002956383,0.0,0.0,0.0,0.0,0.02428179745845223,0.0,0.15726304476979944
SO,0.0,0.0,0.0,0.14259195716891884,0.01700937180031742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16201862973060427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1185965519927103,0.0,0.0,0.0,0.0,0.02690295235385078,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPG,0.0,0.0,0.0,0.0,0.007799990101175374,0.0,0.0,0.11496518017296146,0.19679698072603732,0.0,0.055128484028753436,0.0,0.0,0.0127299154327858,0.0,0.0,0.0,0.028436584027017594,0.06456555071540356,0.01540446899206053,0.031918557383290046,0.007563907705606035,0.0,0.0,0.05323544822942248,0.0,0.009634010251609542,0.047584962422938755,0.0,0.0,0.0014936631859998628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12079214067997295,0.07087348002956383,0.0,1.0,0.0,0.0,0.0,0.0,0.03430200609541393,0.0,0.0
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012007425275467147,0.03902365970861173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01878187742417673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.018934885061052863,0.0,0.0,0.0
UNH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024963059365328825,0.025430635713991016,0.0,0.01124613816239233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03154875781288309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035634216789504555,0.0,0.0,0.015244598685973306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
UPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02314866931058736,0.0017065070313697084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06770523720406792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024817541020035354,0.0,0.0,0.0723662665694273,0.0,0.0,0.0,0.0013013111426256458,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018934885061052863,0.0,0.0,1.0,0.0,0.0,0.0
WFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08562120446127769,0.03777276786029738,0.19870408819392607,0.14080129434787464,0.0,0.0,0.00015150533470686899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03124350128434865,0.0,0.07290704311840013,0.005703284935558874,0.0,0.12697833779639225,0.0,0.0,0.0,0.0,0.0,0.0,0.08071447482493647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02428179745845223,0.0,0.03430200609541393,0.0,0.0,0.0,0.0,1.0,0.0,0.006822832503202323
WMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017018218725342222,0.0,0.006200646846765266,0.0,0.0,0.0,0.1524586500484152,0.0,0.0,0.18535200147757994,0.0,0.0,0.0,0.1558871645920099,0.0,0.028496097778756675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15726304476979944,0.0,0.0,0.0,0.0,0.0,0.0,0.006822832503202323,0.0,1.0
