,AAPL,ABBV,ADBE,AEP,AMT,AMZN,APD,AXP,BA,BAC,C,CAT,CL,CMCSA,COP,COST,CRM,CVX,DIS,DUK,ECL,EOG,EQIX,FCX,GE,GOOGL,GS,HON,JNJ,JPM,KO,LIN,LLY,LMT,META,MRK,MS,MSFT,NEE,NVDA,PEP,PFE,PG,PLD,SLB,SO,SPG,T,UNH,UPS,VZ,WFC,WMT,XOM
PFE,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0
PG,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLD,0.65,0.0,0.8,0.7,1.0,0.05,0.7,0.4,0.85,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.45,0.0,0.0,0.75,0.85,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.65,0.35,1.0,0.9,0.15,0.0,0.05,1.0,0.0,0.7,1.0,0.0,0.25,0.55,0.0,0.05,0.0,0.0
SLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,0.55,1.0,1.0,0.0,0.05,1.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.55,0.45,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1,0.0,0.0,0.0,1.0,0.0,1.0
SO,0.0,0.0,0.0,0.95,0.6,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.7,0.0,1.0,0.25,0.05,0.05,0.0,0.0,0.05,0.0,0.0
SPG,0.0,0.05,0.0,0.1,0.65,0.0,0.0,1.0,1.0,0.1,1.0,0.0,0.0,0.7,0.05,0.0,0.0,0.7,1.0,0.7,0.85,0.55,0.0,0.2,1.0,0.0,0.75,1.0,0.0,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.05,0.0,1.0,1.0,0.25,1.0,0.4,0.3,0.0,0.0,0.95,0.0,0.5
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.6,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.4,1.0,0.0,0.0,0.9,0.5,0.0,0.0
UNH,0.15,0.45,0.45,0.0,0.1,0.0,0.1,0.85,0.8,0.45,0.75,0.0,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.05,0.1,0.0,0.0,0.9,0.0,0.0,0.05,0.05,0.0,0.1,0.0,0.0,0.6,0.1,0.0,0.05,0.9,0.4,0.0,0.65,0.1,0.05,0.0,0.25,0.0,0.05,0.3,0.0,1.0,0.0,0.0,0.05,0.0,0.0
UPS,0.2,0.0,0.55,0.0,0.0,0.05,0.1,0.0,0.2,0.95,0.55,0.35,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.95,0.0,0.0,1.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0
VZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.0,0.0
WFC,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,1.0,1.0,1.0,0.1,0.0,0.5,0.25,0.0,0.0,0.05,0.05,0.0,0.3,0.05,0.0,0.0,1.0,0.0,1.0,0.7,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.05,0.95,0.5,0.05,0.3,0.0,1.0,0.0,0.75
WMT,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.75,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,1.0
