,AAPL,ABBV,ADBE,AEP,AMT,AMZN,APD,AXP,BA,BAC,C,CAT,CL,CMCSA,COP,COST,CRM,CVX,DIS,DUK,ECL,EOG,EQIX,FCX,GE,GOOGL,GS,HON,JNJ,JPM,KO,LIN,LLY,LMT,META,MRK,MS,MSFT,NEE,NVDA,PEP,PFE,PG,PLD,SLB,SO,SPG,T,UNH,UPS,VZ,WFC,WMT,XOM
C,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-19.555693034161823,-263.2166269406384,-171.6070830637217,-1051.1705511104574,4940.648645681305,-84.40589721707121,-0.0,-174.43007969613828,-126.17288774534461,-0.0,-41.261560594160514,-143.06068402697875,-218.66627317827806,-0.0,-78.50549018346277,-24.490849553220936,-0.0,-7.384866920376493,-187.48289200285978,-34.89211539491597,-675.7180577997408,-243.8792406288951,-0.0,-891.7658297787111,-0.0,-81.20226893851832,-0.0,-0.0,-0.0,-0.0,-568.5654053534531,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-206.06191000345453,-0.0,-192.06296367655654,-191.81739410088986,-48.27425074965768,-7.531538808008572,-0.0,-646.8394460559472,-0.0,-31.62173039641075
CAT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2797996999617781,-23.01952156356077,-78.81702893149438,-213.68216291688987,-84.40589721707121,3775.1713347129394,-0.0,-0.0,-105.59767000685582,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-99.83571900168826,-0.0,-540.3772499147731,-149.09188600584227,-0.0,-160.9016339592595,-158.8652256173605,-0.0,-13.91109490730868,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-262.2899747098832,-0.0,-0.0,-30.713662031027575,-0.0,-0.0,-0.0,-0.0,-271.3433488764793,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CL,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6962.732871092716,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CMCSA,-0.0,-0.0,-0.673735884227182,-0.0,-0.0,-0.0,-0.0,-32.92850212328758,-8.88213609132355,-18.819786611066622,-174.43007969613828,-0.0,-0.0,4084.7875272275887,-0.0,-0.0,-0.0,-0.0,-290.3261889540566,-0.0,-0.0,-0.0,-0.0,-76.6948221333972,-0.0,-0.0,-15.760743515582961,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-140.46823334938978,-0.0,-0.0,-51.77322028048431,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-40.326064945073,-0.0,-0.0,-0.0,-0.0,-0.632864194251906,-0.0,-0.0
COP,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.8333699085837767,-107.36783364054615,-126.17288774534461,-105.59767000685582,-0.0,-0.0,3832.6486032206885,-0.0,-0.0,-962.5723278020946,-0.0,-0.0,-0.0,-1292.2754780648622,-0.0,-193.9846382275491,-39.449472797341826,-0.0,-0.0,-7.808161650143758,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-20.79025980481621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-582.9426905572519,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-684.7912788451055
COST,-0.0,-0.0,-75.65614639507952,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5481.242851515315,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-288.9474361604503,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CRM,-63.87765672291908,-0.0,-744.0978785238581,-0.0,-0.0,-256.9399241804575,-0.0,-14.350580226761728,-49.90218210894834,-0.0,-41.261560594160514,-0.0,-0.0,-0.0,-0.0,-0.0,2756.1889298399183,-0.0,-34.89104488468172,-0.0,-39.26228162952446,-0.0,-60.990737830013146,-72.15029231175029,-0.0,-85.61435124093235,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-191.1916156468009,-0.0,-51.443760780064146,-307.8187241889892,-0.0,-229.4360348859209,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CVX,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-25.536010196639147,-129.14320303365457,-0.0,-143.06068402697875,-0.0,-0.0,-0.0,-962.5723278020946,-0.0,-0.0,4849.952968985817,-0.0,-0.0,-0.0,-316.4517204894785,-0.0,-225.0036504201349,-0.0,-0.0,-0.0,-0.0,-0.0,-73.23402624094409,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-39.394373868427614,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-532.51605875088,-0.0,-98.15711373945155,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-936.532154834148
DIS,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-261.78546166619816,-207.62103767358582,-56.1099191467702,-218.66627317827806,-0.0,-0.0,-290.3261889540566,-0.0,-0.0,-34.89104488468172,-0.0,3649.647228412133,-0.0,-37.114756122187615,-2.5657231502247764,-0.0,-99.72593270757719,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-50.51049692138514,-0.0,-150.21220272577773,-0.0,-0.0,-91.27842470923875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-193.33117688519437,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
DUK,-0.0,-0.0,-0.0,-806.3496157442354,-11.432701864814844,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6372.057971387386,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-537.3092678298508,-0.0,-0.0,-0.0,-0.0,-82.56735660816753,-0.0,-985.7850318167307,-60.94838221919826,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
